rank,name,symbol,price,1h_change,24h_change,7d_change,market_cap,volume_24h
81,11.90%24.78%,11.90%24.78%,55.0,,,,7.0,
82,Ethereum Name,ServiceENS,32.71,0.0058,0.038,0.0040999999999999995,1158253114.0,81974839.0
83,TezosXTZ,TezosXTZ,1.11,0.0132,0.0467,0.08109999999999999,1136423779.0,31236161.0
84,GalaGALA,GalaGALA,0.03022,0.0227,0.0707,0.06559999999999999,1113381569.0,80501925.0
85,IOTAIOTA,IOTAIOTA,0.3063,0.0213,0.0592,0.04019999999999999,1106498731.0,37804336.0
86,Pyth,NetworkPYTH,0.3004,0.0174,0.056100000000000004,0.0311,1089115596.0,49007446.0
87,FartcoinFARTCOIN,FartcoinFARTCOIN,1.05,0.07,0.2504,0.47909999999999997,1048038574.0,207927245.0
88,MakerMKR,MakerMKR,1188.55,0.009399999999999999,0.0393,0.056299999999999996,1058149495.0,129755101.0
89,SPX6900SPX,SPX6900SPX,1.13,0.021099999999999997,0.0857,0.19920000000000002,1054245080.0,31674535.0
90,FlowFLOW,FlowFLOW,0.6558,0.011899999999999999,0.045899999999999996,0.0229,1022642519.0,27003678.0
91,BitTorrent,[New]BTT,0.051044,0.006999999999999999,0.0294,0.0070999999999999995,1010894855.0,26340036.0
92,Bitcoin,SVBSV,50.31,0.0018,0.0433,0.0006,997024593.0,49444542.0
93,AIOZ,NetworkAIOZ,0.8661,0.023799999999999998,0.1209,0.0273,998548224.0,137985412.0
94,Curve DAO,TokenCRV,0.7598,0.0113,0.056299999999999996,0.0528,968393969.0,122390442.0
95,NeoNEO,NeoNEO,13.54,0.0111,0.0392,0.0269,954782511.0,25973002.0
96,ArweaveAR,ArweaveAR,13.92,0.0159,0.0463,0.0738,913778936.0,25059291.0
97,NexoNEXO,NexoNEXO,1.41,0.0069,0.0194,0.08560000000000001,912498710.0,9409125.0
98,THORChainRUNE,THORChainRUNE,2.57,0.0139,0.0509,0.20149999999999998,901294551.0,322453170.0
99,DecentralandMANA,DecentralandMANA,0.4511,0.011200000000000002,0.0533,0.0040999999999999995,876238317.0,57368599.0
100,Axie,InfinityAXS,5.48,0.0148,0.045700000000000005,0.0354,866609711.0,31806418.0
101,StarknetSTRK,StarknetSTRK,0.3573,0.0225,0.045700000000000005,0.0434,864446842.0,48028576.0
102,ai16zAI16Z,ai16zAI16Z,0.756,0.0203,0.1301,0.0354,831598448.0,98363581.0
103,JitoJTO,JitoJTO,2.89,0.012199999999999999,0.0034000000000000002,0.0008,828393670.0,68716594.0
104,PolygonMATIC,PolygonMATIC,0.433,0.0077,0.0069,0.0128,828698089.0,6783407.0
105,BeamBEAM,BeamBEAM,0.01658,0.018600000000000002,0.0919,0.1948,820183070.0,44497070.0
105,30.68%23.78%,30.68%23.78%,338.0,,,,0.8949,
106,MultiversXEGLD,MultiversXEGLD,29.14,0.0154,0.041299999999999996,0.0672,810092563.0,17655079.0
107,10.96%5.44%,10.96%5.44%,266.0,,,,0.0005284,
107,dYdX,(Native)DYDX,1.11,0.013500000000000002,0.0356,0.0069,802748146.0,23059360.0
108,Brett,(Based)BRETT,0.08068,0.031,0.0738,0.1107,799565040.0,36766987.0
109,CoreCORE,CoreCORE,0.8031,0.0115,0.0334,0.0215,752038346.0,29153092.0
109,9.70%36.85%,9.70%36.85%,45.0,,,,0.3799,
110,USDDUSDD,USDDUSDD,0.9964,0.0001,0.0013,0.0019,744327623.0,2462407.0
111,ZcashZEC,ZcashZEC,44.92,0.0005,0.042199999999999994,0.0297,733529409.0,105591456.0
112,ApeCoinAPE,ApeCoinAPE,0.9698,0.0121,0.0232,0.0213,729925186.0,74929196.0
113,Aerodrome,FinanceAERO,0.9581,0.0,0.0471,0.1426,723090955.0,41096066.0
114,33.74%22.37%,33.74%22.37%,491.0,,,,0.06581,
114,ConfluxCFX,ConfluxCFX,0.1474,0.0171,0.0239,0.0091,711891020.0,35511864.0
115,FTX,TokenFTT,2.14,0.0105,0.028399999999999998,0.07440000000000001,703527498.0,20723932.0
116,Reserve,RightsRSR,0.0125,0.027200000000000002,0.002,0.0429,686380598.0,56723097.0
117,AmpAMP,AmpAMP,0.008092,0.014499999999999999,0.0487,0.1297,681633949.0,120118254.0
118,Tether,GoldXAUt,2752.07,0.0007000000000000001,0.0027,0.024300000000000002,678451272.0,4051803.0
119,ChilizCHZ,ChilizCHZ,0.07111,0.016,0.045899999999999996,0.0466,666023136.0,39291897.0
